ranker,player,team,fantasy_pos,age,g,gs,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,fumbles,fumbles_lost,all_td,two_pt_md,two_pt_pass,fantasy_points,fantasy_points_ppr,draftkings_points,fanduel_points,vbd,fantasy_rank_pos,fantasy_rank_overall,player_id
387,Shaun Hill,MIN,QB,36,3,1,19,35,242,0,0,5,5,1.00,0,0,0,0,,0,0,0,0,,,10,10.2,10.2,10.2,,50,,HillSh00
388,David Johnson,PIT,TE,29,16,5,0,0,0,0,0,0,0,,0,11,7,80,11.43,0,0,0,0,1,,10,17.0,17.0,13.5,,71,,JohnDa05
389,Darren McFadden,DAL,RB,29,3,1,0,0,0,0,0,24,87,3.63,0,5,3,17,5.67,0,0,0,0,,,10,13.4,13.4,11.9,,113,,McFaDa00
390,Joshua Perkins,ATL,TE,23,8,1,0,0,0,0,0,0,0,,0,5,3,42,14.00,1,0,0,1,,,10,13.2,13.2,11.7,,70,,PerkJo02
391,Jeremy Ross,2TM,WR,28,6,1,0,0,0,0,0,0,0,,0,4,4,37,9.25,1,0,0,1,,,10,13.7,13.7,11.7,,157,,RossJe01
392,Antone Smith,TAM,RB,31,3,0,0,0,0,0,0,10,47,4.70,0,9,6,77,12.83,0,2,1,0,,,10,16.4,17.4,13.4,,114,,SmitAn01
393,James Wright,CIN,WR,25,13,2,0,0,0,0,0,2,-6,-3.00,0,19,13,106,8.15,0,0,0,0,,,10,23.0,26.0,16.5,,156,,WrigJa03
394,George Atkinson,CLE,RB,24,16,0,0,0,0,0,0,7,34,4.86,1,0,0,0,,0,1,0,1,,,9,9.4,9.4,9.4,,115,,AtkiGe01
395,Blake Bell,SFO,TE,25,13,0,0,0,0,0,0,0,0,,0,9,4,85,21.25,0,0,0,0,,,9,12.5,12.5,10.5,,75,,BellBl00
396,Leonte Carroo,MIA,WR,22,14,2,0,0,0,0,0,0,0,,0,6,3,29,9.67,1,0,0,1,,,9,11.9,11.9,10.4,,160,,CarrLe00
397,Pharoh Cooper,LAR,WR,21,10,3,0,1,0,0,1,0,0,,0,20,14,106,7.57,0,0,0,0,,,9,22.6,26.6,16.6,,163,,CoopPh00
398,Gavin Escobar,DAL,TE,25,16,1,0,0,0,0,0,0,0,,0,7,4,30,7.50,1,0,0,1,,,9,13.0,13.0,11.0,,74,,EscoGa00
