"Rank","Player","Team","Bye","POS","AVG"
"184","Zach Ertz","ARI","11","TE21","157.1"
"185","Pat Freiermuth","PIT","9","TE22","157.3"
"186","Mac Jones","NE","14","QB22","157.4"
"187","Miami Defense","MIA","6","DEF11","158.2"
"188","Amon-Ra St. Brown","DET","5","WR64","158.5"
"189","Tony Jones Jr.","NO","12","RB61","158.8"
"190","Marlon Mack","IND","14","RB62","158.8"
"191","Mason Crosby","GB","10","PK10","159.2"
"192","Randall Cobb","GB","10","WR65","159.7"
"193","Jerick McKinnon","KC","6","RB63","159.7"
"194","Denver Defense","DEN","14","DEF12","159.8"
"195","Tyrell Williams","DET","5","WR66","160"
"196","Tua Tagovailoa","MIA","6","QB23","160.6"
"197","Kirk Cousins","MIN","6","QB24","160.9"
"198","Malcolm Brown","MIA","6","RB64","161.7"
"199","DeVante Parker","MIA","6","WR67","162.3"
"200","Ryan Fitzpatrick","WAS","14","QB25","163.3"
"201","Deshaun Watson","HOU","14","QB26","163.6"
"202","Matt Gay","LAR","6","PK11","163.8"
"203","Robbie Gould","SF","9","PK12","165.1"
"204","Carson Wentz","IND","14","QB27","167.1"
"205","Wil Lutz","NO","12","PK13","168"
"206","Nelson Agholor","NE","14","WR68","170.7"
"207","Marquez Valdes-Scantling","GB","10","WR69","170.9"
"208","Carlos Hyde","JAX","12","RB65","172.7"
"209","Kansas City Defense","KC","6","DEF13","173.2"
"210","Daniel Carlson","LV","10","PK14","173.7"
"211","Jason Myers","SEA","10}","PK15","174"
