"Rank","Player","Team","Bye","POS","AVG"
"238","Zach Ertz","WAS","14","TE34","242.3"
"239","San Francisco 49ers","DST","9","DST3","180.0"
"240","Tucker Kraft","GB","10","TE35","242.7"
"241","Dawson Knox","BUF","12","TE36","243.3"
"242","New York Jets","DST","12","DST4","183.0"
"243","Jalen McMillan","TB","11","WR94","229.0"
"244","Cleveland Browns","DST","10","DST5","188.0"
"245","Rondale Moore","ATL","12","WR95","246.3"
"246","Colby Parkinson","LAR","6","TE37","246.3"
"247","Jacoby Brissett","NE","14","QB36","233.0"
"248","Hayden Hurst","LAC","5","TE38","246.7"
"249","Theo Johnson","NYG","11","TE39","246.7"
"250","Pittsburgh Steelers","DST","9","DST6","193.0"
"251","Kansas City Chiefs","DST","6","DST7","194.0"
"252","Daniel Bellinger","NYG","11","TE40","247.7"
"253","Buffalo Bills","DST","12","DST8","196.0"
"254","Eric Gray","NYG","11","RB75","253.0"
"255","Miami Dolphins","DST","6","DST9","200.0"
"256","Houston Texans","DST","14","DST10","201.0"
"257","Philadelphia Eagles","DST","5","DST11","205.0"
"258","Indianapolis Colts","DST","14","DST12","208.0"
"259","Chicago Bears","DST","7","DST13","212.0"
"260","Las Vegas Raiders","DST","10","DST14","215.0"
"261","Kareem Hunt","","","RB76","244.5"
"262","New Orleans Saints","DST","12","DST15","217.0"
"263","Greg Dortch","ARI","11","WR96","245.5"
"264","Michael Penix Jr.","ATL","12","QB37","246.5"
"265","Green Bay Packers","DST","10","DST16","220.0"
"266","Miles Sanders","CAR","11","RB77","247.0"
"267","Detroit Lions","DST","5","DST17","222.0"
"268","Tampa Bay Buccaneers","DST","11","DST18","226.0"
"269","Calvin Austin III","PIT","9","WR97","269.3"
"270","Jamaal Williams","NO","12","RB78","228.0"
"271","Malik Washington","MIA","6","WR98","271.5"
"272","Jacksonville Jaguars","DST","12","DST19","230.0"
"273","Andrei Iosivas","CIN","12","WR99","267.0"
"274","New England Patriots","DST","14","DST20","232.0"
"275","Evan Hull","IND","14","RB79","258.5"
"276","Cincinnati Bengals","DST","12","DST21","236.0"
"277","Donald Parham Jr.","LAC","5","TE41","269.0"
"278","Minnesota Vikings","DST","6","DST22","238.0"
